Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Comps,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
  2006,   0.28,   0.47,   0.27,   0.18,   0.24,   0.32,   0.54,   0.43,   0.15,   0.37,   0.33,   0.23,   0.23,   0.36,   0.37,   0.65,   0.43,   0.38,   0.44,   0.61,   0.31,   0.32,   0.71,   0.28,   0.36,   0.28,   0.37,   0.27,   0.21,   0.41,   0.49,   0.55,   0.34,   0.24,   0.28,   0.33,   0.34,   0.30,   0.30,   0.44,   0.42,   0.30,   0.27,   0.51,   0.55,   0.47,   0.41,   0.39
  2007,   0.25,   0.63,   0.29,   0.17,   0.22,   0.32,   0.35,   0.40,   0.26,   0.31,   0.34,   0.28,   0.23,   0.35,   0.38,   0.88,   0.46,   0.54,   0.42,   0.49,   0.30,   0.30,   0.44,   0.21,   0.37,   0.18,   0.47,   0.20,   0.25,   0.41,   0.46,   0.61,   0.37,   0.24,   0.24,   0.36,   0.38,   0.29,   0.30,   0.45,   0.41,   0.31,   0.24,   0.50,   0.57,   0.32,   0.36,   0.38
  2008,   0.14,   0.34,   0.28,   0.17,   0.18,   0.41,   0.28,   0.43,   0.26,   0.40,   0.36,   0.31,   0.24,   0.29,   0.46,   0.63,   0.54,   0.60,   0.39,   0.46,   0.28,   0.26,   0.45,   0.21,   0.39,   0.23,   0.41,   0.26,   0.17,   0.38,   0.44,   0.51,   0.31,   0.23,   0.23,   0.34,   0.35,   0.32,   0.26,   0.45,   0.43,   0.37,   0.22,   0.66,   0.61,   0.49,   0.41,   0.40
  2009,   0.27,   0.49,   0.41,   0.20,   0.12,   0.57,   0.80,   0.58,   0.34,   0.58,   0.62,   0.52,   0.30,   0.57,   0.54,   0.87,   0.86,   0.77,   0.96,   0.99,   0.58,   0.50,   0.76,   0.37,   0.99,   0.13,   0.54,   0.30,   0.54,   0.59,   0.68,   0.78,   0.42,   0.37,   0.45,   0.61,   0.62,   0.47,   0.39,   0.52,   0.76,   0.55,   0.34,   1.04,   0.88,   1.22,   1.05,   0.66
  2010,   0.30,   0.43,   0.38,   0.21,   0.10,   0.44,   0.56,   0.36,   0.31,   0.41,   0.49,   0.39,   0.36,   0.40,   0.49,   0.64,   0.62,   0.68,   0.63,   0.77,   0.40,   0.38,   0.45,   0.26,   0.83,   0.17,   0.49,   0.24,   0.35,   0.52,   0.66,   0.61,   0.36,   0.27,   0.29,   0.41,   0.47,   0.34,   0.36,   0.44,   0.49,   0.39,   0.27,   1.06,   0.99,   0.65,   0.70,   0.75
  2011,   0.31,   0.43,   0.27,   0.23,   0.09,   0.35,   0.30,   0.39,   0.27,   0.32,   0.51,   0.38,   0.38,   0.32,   0.46,   0.57,   0.51,   0.60,   0.56,   0.52,   0.31,   0.33,   0.37,   0.25,   0.58,   0.19,   0.42,   0.23,   0.29,   0.50,   0.66,   0.57,   0.44,   0.26,   0.28,   0.40,   0.40,   0.39,   0.36,   0.37,   0.46,   0.37,   0.21,   0.89,   0.90,   0.53,   0.69,   0.67
  2012,   0.35,   0.44,   0.20,   0.27,   0.05,   0.41,   0.43,   0.38,   0.31,   0.32,   0.56,   0.42,   0.34,   0.41,   0.46,   0.67,   0.54,   0.70,   0.80,   0.58,   0.39,   0.40,   0.52,   0.26,   0.52,   0.10,   0.45,   0.38,   0.69,   0.53,   0.59,   0.57,   0.48,   0.31,   0.30,   0.46,   0.43,   0.38,   0.39,   0.39,   0.45,   0.36,   0.21,   1.23,   1.13,   0.56,   0.99,   0.71
  2013,   0.27,   0.44,   0.20,   0.27,   0.10,   0.35,   0.35,   0.58,   0.28,   0.32,   0.50,   0.39,   0.30,   0.34,   0.35,   0.50,   0.41,   0.52,   0.77,   0.55,   0.40,   0.35,   0.40,   0.27,   0.46,   0.08,   0.62,   0.40,   0.85,   0.59,   0.63,   0.44,   0.49,   0.30,   0.49,   0.40,   0.39,   0.35,   0.38,   0.37,   0.41,   0.32,   0.20,   0.96,   1.10,   0.40,   0.85,   0.68
  2014,   0.23,   0.35,   0.18,   0.23,   0.09,   0.27,   0.22,   0.68,   0.24,   0.25,   0.41,   0.31,   0.23,   0.33,   0.28,   0.31,   0.33,   0.50,   0.64,   0.40,   0.35,   0.27,   0.39,   0.27,   0.38,   0.14,   1.00,   0.43,   0.81,   0.51,   0.57,   0.36,   0.34,   0.23,   0.41,   0.33,   0.31,   0.26,   0.27,   0.32,   0.30,   0.27,   0.17,   0.74,   0.79,   0.33,   0.59,   0.59
  2015,   0.16,   0.33,   0.15,   0.17,   0.06,   0.27,   0.23,   0.73,   0.23,   0.22,   0.37,   0.26,   0.19,   0.28,   0.26,   0.28,   0.34,   0.58,   0.60,   0.78,   0.34,   0.27,   0.35,   0.24,   0.34,   0.10,   1.11,   0.48,   0.85,   0.61,   0.49,   0.31,   0.32,   0.24,   0.33,   0.25,   0.29,   0.18,   0.18,   0.24,   0.32,   0.23,   0.15,   0.72,   0.75,   0.34,   0.55,   0.56
  2016,   0.18,   0.39,   0.14,   0.13,   0.12,   0.29,   0.23,   0.76,   0.27,   0.23,   0.41,   0.25,   0.21,   0.30,   0.26,   0.36,   0.39,   0.64,   0.80,   0.41,   0.41,   0.28,   0.43,   0.23,   0.40,   0.09,   1.25,   0.49,   2.72,   0.65,   0.62,   0.39,   0.41,   0.23,   0.45,   0.30,   0.29,   0.19,   0.35,   0.32,   0.33,   0.22,   0.13,   0.75,   0.68,   0.38,   0.60,   0.56
  2017,   0.14,   0.36,   0.13,   0.14,   0.10,   0.27,   0.20,   0.78,   0.24,   0.26,   0.48,   0.24,   0.21,   0.28,   0.19,   0.39,   0.32,   0.65,   0.51,   0.24,   0.28,   0.25,   0.43,   0.19,   0.41,   0.06,   0.59,   0.29,   0.83,   0.49,   0.53,   0.35,   0.34,   0.22,   0.41,   0.26,   0.30,   0.17,   0.33,   0.28,   0.30,   0.21,   0.18,   0.67,   0.63,   0.44,   0.52,   0.49
  2018,   0.52,   0.42,   0.09,   0.12,   0.11,   0.26,   0.15,   0.61,   0.23,   0.21,   0.48,   0.20,   0.19,   0.40,   0.18,   0.34,   0.28,   0.48,   0.45,   0.56,   0.24,   0.28,   0.38,   0.15,   0.39,   0.32,   0.56,   0.26,   0.63,   0.53,   0.53,   0.41,   0.42,   0.18,   0.33,   0.21,   0.25,   0.16,   0.34,   0.29,   0.31,   0.16,   0.14,   0.56,   0.55,   0.41,   0.44,   0.55
  2019,   0.86,   0.49,   0.09,   0.16,   0.16,   0.23,   0.18,   0.79,   0.25,   0.21,   0.44,   0.21,   0.19,   0.41,   0.28,   0.74,   0.46,   0.78,   0.67,   0.50,   0.30,   0.32,   0.60,   0.19,   0.39,   0.04,   0.61,   0.45,   0.76,   0.71,   0.55,   0.52,   0.43,   0.19,   0.44,   0.22,   0.27,   0.23,   0.41,   0.33,   0.38,   0.17,   0.13,   0.69,   0.62,   0.51,   0.61,   0.54
  2020,   1.03,   0.44,   0.09,   0.14,   0.07,   0.19,   0.11,   0.63,   0.14,   0.14,   0.32,   0.18,   0.18,   0.35,   0.22,   0.72,   0.33,   0.60,   0.67,   0.56,   0.21,   0.22,   0.30,   0.31,   0.51,   0.06,   0.61,   0.32,   1.21,   0.66,   0.47,   0.42,   0.29,   0.16,   0.20,   0.13,   0.22,   0.20,   0.32,   0.27,   0.29,   0.14,   0.17,   0.50,   0.53,   0.41,   0.50,   0.55
  2021,   0.85,   0.44,   0.09,   0.14,   0.04,   0.10,   0.13,   0.54,   0.13,   0.13,   0.23,   0.17,   0.16,   0.34,   0.16,   0.76,   0.28,   0.54,   0.62,   0.41,   0.19,   0.20,   0.20,   0.51,   0.57,   0.08,   0.47,   0.27,   1.68,   0.84,   0.53,   0.42,   0.31,   0.13,   0.23,   0.10,   0.18,   0.20,   0.32,   0.18,   0.28,   0.15,   0.17,   0.68,   0.67,   0.41,   0.49,   0.58
  2022,   0.73,   0.42,   0.10,   0.15,   0.18,   0.23,   0.17,   0.49,   0.11,   0.13,   0.42,   0.18,   0.17,   0.31,   0.15,   0.59,   0.26,   0.42,   0.52,   0.32,   0.18,   0.25,   0.13,   0.44,   0.50,   0.12,   0.46,   0.23,   0.83,   0.58,   0.47,   0.49,   0.26,   0.12,   0.27,   0.09,   0.17,   0.18,   0.33,   0.18,   0.23,   0.12,   0.15,   0.53,   0.50,   0.33,   0.38,   0.56
  2023,   0.63,   0.39,   0.10,   0.14,   0.30,   0.42,   0.22,   0.62,   0.14,   0.19,   0.48,   0.22,   0.18,   0.34,   0.23,   0.95,   0.37,   0.66,   0.64,   0.65,   0.21,   0.34,   0.28,   0.39,   0.52,   0.10,   0.54,   0.28,   0.69,   0.44,   0.47,   0.63,   0.28,   0.22,   0.27,   0.13,   0.22,   0.24,   0.40,   0.25,   0.31,   0.19,   0.17,   0.61,   0.35,   0.46,   0.41,   0.53
  2024,   0.76,   0.46,   0.11,   0.19,   0.20,   0.35,   0.16,   0.48,   0.15,   0.20,   0.48,   0.21,   0.16,   0.39,   0.19,   0.93,   0.26,   0.43,   0.55,   0.53,   0.18,   0.29,   0.41,   0.36,   0.47,   0.09,   0.63,   0.23,   0.59,   0.52,   0.53,   0.60,   0.22,   0.14,   0.24,   0.07,   0.25,   0.26,   0.31,   0.23,   0.25,   0.14,   0.17,   0.72,   0.40,   0.41,   0.38,   0.50
